hon_stake = 0.95
f         = 0.05
delta     = 5
w         = 25000
Probability of honest success: 0.0475604
Effective rate of honest advancement: 0.0399586
Adversarial stake ratio: 0.05
Adversarial success probability: 0.00256138
...equal to expected rate of adversarial advancement: 0.00256138
Evolution beginning...
(adv. stake: 0.05, f: 0.05, delta: 5, step: 10, density: 0.789242)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 20, density: 0.503534)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 30, density: 0.330293)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 40, density: 0.221915)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 50, density: 0.152129)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 60, density: 0.106025)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 70, density: 0.0748876)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 80, density: 0.0534666)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 90, density: 0.0385044)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 100, density: 0.0279234)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 110, density: 0.0203653)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 120, density: 0.0149223)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 130, density: 0.0109764)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 140, density: 0.00810017)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 150, density: 0.00599413)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 160, density: 0.00444618)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 170, density: 0.00330475)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 180, density: 0.00246078)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 190, density: 0.00183526)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 200, density: 0.00137068)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 210, density: 0.001025)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 220, density: 0.000767375)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 230, density: 0.000575099)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 240, density: 0.000431407)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 250, density: 0.000323898)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 260, density: 0.000243373)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 270, density: 0.000183002)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 280, density: 0.0001377)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 290, density: 0.000103678)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 300, density: 7.81075e-05)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 310, density: 5.88758e-05)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 320, density: 4.4402e-05)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 330, density: 3.35025e-05)
